职位标题,薪资,薪资单位,结算方式,公司名称,发布时间,职位详情,职位链接
纯日结单+工厂单+保安单,277,小时,日结,深圳市生和人力资源有限公司,05-06,"更多纯日结单，可+我查看
1、龙华/观澜/沙井/公明 体验卡，日结80元现金+200元话费，卡给你自己使用、卡有100元话费，联通卡=50元/张，移动卡=30元/张，中午11:00-16:30内办理

2、宝安app拉新  日结120元-200元，30元/小时，基本4-8小时，没做过app充场都可以，，下载各类app软件、注册虚拟卡，不绑卡无风险，18-60岁，时间早9:30-17:00，早9:15前

3、龙华地铁站台保安
办健康证70元满月报销，包吃包住，两班倒8:00-8:00左右，12小时，在老家交养老保险170元/天，没交的有保安证160元/天，无保安证155元/天，加班15元/小时，服装帽子一套140元工资里扣，男18-50岁以内，正式上岗前跟岗3天，每天8小时，跟岗考核不合格的没有跟岗工资（要酱油的不合适）

4、沙井兴英电子  周结
工期2个月起，体检61.5元，18元/小时+包吃住+每周借支500元+两班倒有站有坐，线路板的组装包装测试等，18-45岁，工衣45元，工作满一个月体检费和工衣费报销

5、光明马田特发电子 日结
手机放车间门口柜子，工期2个月起，不体检，17元/小时+包吃住（吃扣5元/天）+长白班有站有坐+3天后每天发150元+产品/组装/包装等，16-40岁

6、石岩科莱昂科技  
工期3个月起，不体检，17元/小时+包吃住（每餐补6.5元吃超工资里扣）+每周借支500元+长白班走动式站班（个别夜班补15元/天）+无人机的组装包装测试等，16-38岁

7、南山南岗注塑厂 
工期2个月起，不体检，20元/小时+包住+每周借支500元+两班倒有站有坐，手机壳组装注塑丝印等，独立岗位，18-45岁

8、南山阳光路由器 日结 
工期3个月起，不体检，17元/小时+包吃住+3天后可每天发150元+长白班有站有坐（个别夜班补1元/小时），路由器组装包装测试等，18-35岁（前三天吃饭自费）

禁止转载

联系我时请说明在1010兼职网看到的
联系人：
公司地址：深圳市龙华区富泉大厦B座604 [交通地图]
微信：z256756
提示：请不要交钱给任何单位",https://sz.1010jz.com/gongren/a1801119.html
龙华/宝安/西乡教育机构大量招日结地推,240,天,日结,深圳市聚佳企业管理有限公司,05-06,"单1：龙华/西乡/宝安课外辅导机构招日结推广，工资：无责任110+提成40/单（卖1单29.9的小课包提成40，2单80提成以此类推）有固定摆点位置，有礼品赠送给家长，周围有大型超市学校地铁口人流量大。
要求：性格外向开朗，积极主动，男女不限，要有销售地推类似经验，打酱油的勿扰，工资多劳多得，工资基本都是240以上一天
时间：15:00-21:00，报名加微信备注教育机构
禁止转载

联系我时请说明在1010兼职网看到的
联系人：
公司地址：深圳市宝安区西乡街道固戊社区红湾商务中心E座E502 [交通地图]
微信：cxc81811
提示：请不要交钱给任何单位",https://sz.1010jz.com/qita/a1798535.html
民治德邦/顺丰快递日结大量要人,230,天,日结,深圳市聚佳企业管理有限公司,05-06,"单1：龙华民治德邦快递夜班日结
招聘要求:18-52 岁，只要男孩子。
工作内容：分拣，打包，扫描
工资：230/天，按天算，下班日结，自选班次，休息吃饭不扣工时。
时间1：18:00-6:00
时间2：20:00-8:00


单2：南山/五和顺丰快递日结20/小时，天天日结大量要人，加微信备注快递日结




禁止转载

联系我时请说明在1010兼职网看到的
联系人：
公司地址：深圳市宝安区西乡街道固戊社区红湾商务中心E座E502 [交通地图]
微信：cxc81811
提示：请不要交钱给任何单位",https://sz.1010jz.com/qita/a1793999.html
体验卡日结兼职,150,天,日结,深圳市聚佳企业管理有限公司,05-06,"现场秒结150，龙华/福永体验卡充量日结，免费领取体验卡充数量兼职，1个小时结束，不用排队，男女不限，名额有限，先报先得，每个月可以免费领一次。
30元/张，可领5张工资150元
虚拟体验卡充业绩数量，天天大量要人报名加微信备注体验卡
禁止转载

联系我时请说明在1010兼职网看到的
联系人：陈小姐
公司地址：深圳市宝安区西乡街道固戊社区红湾商务中心E座E502 [交通地图]
微信：cxc81811
提示：请不要交钱给任何单位",https://sz.1010jz.com/qita/a1791965.html
各区工厂快递日结兼职，就近安排,200,天,日结,深圳市聚佳企业管理有限公司,05-06,"单1：龙华工厂白班每天日结180，天天要
【白班】8：30-20：30
【费用】18/小时10小时，工资180元
【年龄】男女 不限，18-42岁
【工作】坐班贴标，打包试剂盒


单2：观澜章阁工厂白夜班日结，
16-42岁男女不限.坐班酱油活
白夜班17一个小时，夜班+8元补贴
天天要人，每天日结


单3：福永工厂白班曰结，天天大量要人
18/小时，工期8天以上，1天后每天下班曰结，也可以直接一天日结17/小时，
报名备注一天日结还是8天以上的
【年龄】只要男生 18-47岁
【时间】8:30-19点
【工作】包装，贴标签，打包，无装卸，每周日固定休息，附近有床位13～14元/天
【地点】盛和兴工业园（褔海西站附近）

前海保税区电商日结20元
坂田中通日结17/小时包餐
公明/布吉快递18/ 小时日结
福永电商日结17/小时日结包吃
福永电子厂日结18/小时
福永京东快递日结19/小时
松岗申通快递日结21/小时
南山顺丰快递日结20/小时
报名加下面微信备注天天日结
禁止转载

联系我时请说明在1010兼职网看到的
联系人：陈小姐
公司地址：深圳市宝安区西乡街道固戊社区红湾商务中心E座E502 [交通地图]
微信：cxc81811
提示：请不要交钱给任何单位",https://sz.1010jz.com/jiazheng/a1788818.html
龙华/福永抖音日结兼职,150,天,日结,深圳市聚佳企业管理有限公司,05-06,"龙华/福永抖音日结兼职150

正常直播，只用于直播教学，手工活制作做。不影响个人正常使用。

工资150元，现场秒结，男女不限

要求：可以正常直播，没被封过。

报名加微信备注抖音兼职。
禁止转载

联系我时请说明在1010兼职网看到的
联系人：
公司地址：深圳市宝安区西乡街道固戊社区红湾商务中心E座E502 [交通地图]
微信：cxc81811
提示：请不要交钱给任何单位",https://sz.1010jz.com/qita/a1794078.html
充场拉新兼职日结,210,天,日结,深圳市聚佳企业管理有限公司,05-06,"办公室手机操作拉新软件体验，增加活跃度充场，每天大量要人
【内容】 现场软件体验，问卷调查，工作轻松简单，办公室室内工作。
【年龄】18-45岁，男女不限
【时间】9:30集合
【薪资】30元/小时，每天工作7-8个小时，工资做完现场结
【工作地点】翻身/西乡/观澜/龙岗
【要求】需带身份证，服从安排，报名加微信备注兼职日结
禁止转载

联系我时请说明在1010兼职网看到的
联系人：
公司地址：深圳市宝安区西乡街道固戊社区红湾商务中心E座E502 [交通地图]
微信：cxc81811
提示：请不要交钱给任何单位",https://sz.1010jz.com/qita/a1794376.html
坂田附近快递日结大量要人,240,天,日结,深圳市聚佳企业管理有限公司,05-06,"单1：坂田顺丰夜班日结快递，大量要人
日结20元/小时，工资下班日结
岗位要求：限男18-50岁，带身份证到，工作轻松简单分拣扫码贴标签。
上班时间：19:00-7:00名额有限，先报先得，报名加微信备注顺丰日结


单2：坂田韵达快递夜班日结216元
要求：18-45岁。男女不限
18元/小时（18:00-6:00）
提前半个小时集合
岗位:分拣，打包，扫描，做事轻松
不能穿拖鞋凉鞋！接受纹身。
带上身份证，要做满一天中途退出无薪！服从安排。
下班签字拍照考勤结算工资，报名加微信备注韵达快递。


单3：龙华白班工厂（长期日结）可以天天报名过来做
【地点】龙华
【白班】8：30-20：30
【费用】18/小时.
【年龄】男女 不限.18-42岁
【工作】坐着上班，工作轻松简单，天天下班日结长期稳定，长白班，不用上夜班，大量要人，提前报名，先报先得，
报名加微信备注白班日结。



禁止转载

联系我时请说明在1010兼职网看到的
联系人：
公司地址：深圳市宝安区西乡街道固戊社区红湾商务中心E座E502 [交通地图]
微信：cxc81811
提示：请不要交钱给任何单位",https://sz.1010jz.com/jiazheng/a1798280.html
盐田活动协助日结兼职,150,天,日结,深圳市聚佳企业管理有限公司,05-06,"盐田活动兼职日结，男女不限，要求：年龄满18以上，穿着整洁干净，形象良好，时间大概2个多小时，工作轻松简单协助现场维持秩序派发礼品，不需要销售经验，做完工资150现场结。
报名加微信备注盐田兼职。
禁止转载

联系我时请说明在1010兼职网看到的
联系人：
公司地址：深圳市宝安区西乡街道固戊社区红湾商务中心E座E502 [交通地图]
微信：cxc81811
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1800672.html
5月6号龙华观澜日结跟车送菜，晚班，晚上,180,天,日结,深圳市百邦劳务派遣有限公司,05-06,"5月6号龙华观澜日结跟车送菜，晚班，晚上 11 点开始上班，主要是分菜、称菜、搬菜、削皮、厨房砍鸡，砍排骨等，生手可以学。跨度9~11 小时左右，中间有休息，不是一直干。般早上8 点半左右干完活，然后在等车回去。干活时间不长，就坐车时间长一点，车上可以睡觉、打游戏。

要求:18-48岁，无染发，无案底，穿短袖需看不到纹身。准备身份证复印件一张，有本人收款方式。

日结，包吃住，180 一天。压3天，第4天开始日结，不做了提前7天申请，可以一直做。

注意:
1、住宿水电费8元一天，保险2元一天;
2、领失业救济金的不要报名!需依法申报个税!

接人时间:今天下午3点半到
禁止转载

联系我时请说明在1010兼职网看到的
联系人：
公司地址：深圳市宝安区西乡街道广深公路西侧万骏汇合商务公寓1栋928 [交通地图]
手机：198 7628 ****点击查看完整电话
微信：19876284417
提示：请不要交钱给任何单位",https://sz.1010jz.com/jiazheng/a1801134.html
东莞塘厦产业园男保安20人,180,天,周结,深圳市百邦劳务派遣有限公司,05-06,":5月5号东莞塘厦产业园男保安20人，年龄18一45岁，净身高男1.70米以上，12小时包住不包吃，工资180元/天（压3天周结，可以借支），正式工5000元/月（休4天），

必须有保安证，高中毕业证，无犯罪记录证明，体检表（3个月内），必须做满3个月，没有做满扣3天工资。只要有保安证，
没有无犯罪记录:符合身高，有多少人要多少人

没有保安证的:::::身高172以上的:18-30男:
禁止转载

联系我时请说明在1010兼职网看到的
联系人：
公司地址：深圳市宝安区西乡街道广深公路西侧万骏汇合商务公寓1栋928 [交通地图]
手机：198 7628 ****点击查看完整电话
微信：19876284417
提示：请不要交钱给任何单位",https://sz.1010jz.com/anbao/a1800964.html
日结今晚龙岗大康极兔快递日结,16,小时,日结,深圳市百邦劳务派遣有限公司,05-06,"今晚龙岗大康极兔快递日结
16～45 岁，男   
[不包吃住:16块钱一个小时
一、【公司简介】主要工作内容：分拣、打包、扫码。没有装卸，可以带手机，必须服从主管安排，上班中途跑路没有工资，只要是个人愿意干活的我都要。

[
[当天结算完工资，下班就催的不要来保险 4 元/天员工自行承担，发工资时扣！
[只支持空降，19点 开始接人
禁止转载

联系我时请说明在1010兼职网看到的
联系人：
公司地址：深圳市宝安区西乡街道广深公路西侧万骏汇合商务公寓1栋928 [交通地图]
手机：198 7628 ****点击查看完整电话
微信：19876284417
提示：请不要交钱给任何单位",https://sz.1010jz.com/gongren/a1800986.html
